content,type
#BoA发文##BoA 可以隐退了吧# 6日，宝儿（BoA）ins快拍更新，疑似透露将隐退，她在配文中写道：“现在合约到期了的话，可以隐退了吧？？” 宝儿的代表作有《NO.1》《VALENTI》《奇迹》《Eat You Up》等。姐没在开玩笑吧！？ ,娱乐
"#午间话题# 肖战、杨洋、张若昀、王一博、李现、成毅、龚俊、魏大勋、于适、王鹤棣、邓为、张凌赫、宋仲基、金秀贤、李钟硕、朴叙俊、车银优、宋江...... 哪位男明星是#古希腊掌管西装的神#？ 
 ",娱乐
"#阿乐留声机# “Hey you Mr.Q，爱你耍Q的指数，电流像瀑布，好像重力加速度，你又傻又无辜，与生俱来的功夫，加快脚步要加入连署。”——《Mr.Q》蔡依林 
新浪娱乐的微博视频
 ",娱乐
"【午间娱乐播报】#姐姐为孟耿如发声#网页链接#孙俪大提琴一级考出来了# 
网页链接#玩具总动员5定档#网页链接#菜市场偶遇霍建华张雪迎#网页链接
金秀贤晒金智媛拍的合照
网页链接
 ",娱乐
"到底什么时候看#安宰贤离婚梗#才会不笑哈哈哈哈哈哈哈哈
K.Will：我们会问已婚人士的婚姻生活吧？
徐仁国：对，我会问。
安宰贤：我不会问。
K.Will和徐仁国：对不起对不起......（尴尬低头扶额）
安宰贤：看着我看着我说啊。
（翻译cr.logo） 
新浪娱乐的微博视频
 ",娱乐
"#阿乐i舞台# 20191012，NINEPERCENT在广州告别演唱会带来《Good Things》，“Good things，一吻还要一吻不能停，Good things，我已爱你爱到不聪明”。谁懂啊时间真的过得好快！#NINEPERCENT六周年# 
新浪娱乐的微博视频
 ",娱乐
"#行止向沈璃求婚了##行止听到沈璃怀孕的反应# 《#与凤行#》行止向沈璃求婚，“我给你办一场十万天神同祝的婚礼”。沈璃思索了一会儿回答：“不过你得抓紧一点了，等肚子大起来，穿礼服就不好看了。”行止又惊又喜，沈璃捧着他的脸献上一个吻，然后跑掉了。呜呜呜呜你们小夫妻真甜啊！
 
新浪娱乐的微博视频",娱乐
#隋棠发文谴责黄子佼# 5日，隋棠在社交平台上发长文谴责黄子佼，表示黄子佼选择在大型非法的偷拍论坛中大量长期地购买和观看由坏人以暴力强迫手段获取的被害人色情影相，他的行为是在支持儿童色情，支持这样邪恶的交易。隋棠宣布未来将不再以任何形式参与和黄子佼相关的演艺工作，以提醒自己不任意成为剥削儿童的帮凶。,娱乐
"【9-17时要闻回顾】#周冬雨素颜照 韩国#爆火
网页链接#于正说赵晴锦超是网红#网页链接#袁弘张歆艺带娃游西班牙#网页链接#游乐园偶遇欧阳娜娜和姐姐#网页链接
贵州偶遇沙溢胡可一家
网页链接
 ",娱乐
#孟耿如为黄子佼发声##孟耿如 这段婚姻是我的选择# 5日，孟耿如为黄子佼发声表示“黄子佼真的做错了！”她称很多事情自己也是同时间跟大家一起得知很多细节，“黄子佼是我的先生，但触法也无法宽待”。她提到丈夫的忏悔愧对和抱歉自己都看在眼里，她会承担自己选择的婚姻，全力陪伴与付出。 ,娱乐
"#分手后最想问前任的问题# 《#换乘恋爱3#》真心话环节，书璟流泪问前任周元：“来这之后，有遇见比我更让你心动的异性吗？”周元思考片刻回答：“跟你比吗？没有。”周元反问书璟：“结束之前都不想跟我约会一次就走吗？”书璟回答：“我怕被动摇，所以...”这一段大家的表情都好好品...（翻译cr网络） 
新浪娱乐的微博视频",娱乐
#柳俊烈公司收购李惠利公司##李惠利柳俊烈前任变同事# 4月5日，据韩媒，演员柳俊烈所属的娱乐经纪公司C-JeS Studio以13亿韩元收购了李惠利所在的Creative Group ENG。此前，尽管最大股东相同，两家公司一直以独立管理层的身份运营，但通过此次收购，预计管理层将合并，旗下艺人将共同管理。  ,娱乐
"#阿乐今日问#：哪部才是你最想安利给朋友的#想N刷的绝世甜剧#？
 
 
网页链接
 ",娱乐
"#阿乐i舞台# 20200818，黄子韬和徐艺洋带来合作舞台《冰淇淋》，动人心弦的舞曲配上甜蜜摸头杀，“去哪里都可以”，“做什么都依你”，谁看了不说一句好好嗑！#徐艺洋发了和黄子韬的合照# 
新浪娱乐的微博视频
 ",娱乐
