content,type
"【#首饰金价涨至每克710元#】近期，随着国际金价的持续上涨，国内黄金零售价格也不断上涨。#金价又双叒叕新高了#继4月3日首饰金价突破700元大关后，4月4日，记者在北京市朝阳区实地走访发现，部分黄金珠宝店铺的金价仍持续大涨，最高已达710元/克。
据一家周生生店铺店员介绍，4月3日该店足金饰品每克报704元，4月4日上涨6元至710元/克。
记者了解到，足金饰品方面，除前述周生生外，4月4日周大福、六福珠宝、潮宏基、周六福价格均为709元/克，相较于昨日的703元/克，均上涨了6元；老庙黄金价格为707元/克，相较于昨日每克上涨了5元；菜百首饰价格为678元/克，相较于昨日每克上涨了8元；中国黄金价格为660元/克，相较于昨日每克上涨了13元。（中国基金报）",财经
"#美联储降息预期推迟##美国3月非农超预期#【杰富瑞：目前而言，很难证明美联储应该降息】杰富瑞经济学家Thomas Simmons对非农就业数据的第一反应是：“哇！”他表示，这些数据让我们无话可说，让我们对看空美国经济的观点产生了质疑。市场将美联储首次降息的预期从7月推迟到9月的反应是合适的，但可能力度不够。就目前而言，很难证明美联储应该降息，可以说，关于再次加息的辩论应该比目前更加活跃。
美国3月非农就业人数增加30.3万人远超预期 降息预期后延至9月",财经
"#美国3月非农超预期# #美联储降息预期推迟#【美股开盘：美股周五高开 3月非农数据远超预期】美国3月非农就业数据远超预期、平均时薪同比增长4.1%，表明美国经济仍有韧性、通胀压力依旧高企，使市场预测美联储首次降息时间将推迟至9月份。道指涨15.86点，涨幅为0.04%，报38612.84点；纳指涨52.56点，涨幅为0.33%，报16101.64点；标普500指数涨10.33点，涨幅为0.20%，报5157.54点。
开盘：美股周五高开 3月非农数据远超预期",财经
"#高跟鞋为什么被女性们抛弃#【小调查：你觉得高跟鞋为什么会被女性们抛弃？ 】#越来越多女性正在抛弃高跟鞋# 高跟鞋的命运，早就暗藏在一串数字里。2018年，高跟鞋市场萎缩近120亿美元，占鞋类市场销售比例已不到20％，而且较2017年少了一半以上。根据 NPD Retail Tracking Service 的数据，2017年美国高跟鞋销量，比 2016 年下降了 11%。越好看的高跟鞋穿起来越是“美丽刑具”，这几乎是一种共识。更现实的因素是，高跟鞋会平等地教育每个穿着它通勤的打工人。（每日人物）
 
网页链接",财经
"【#高跟鞋为什么被女性们抛弃#】#越来越多女性正在抛弃高跟鞋# 高跟鞋的命运，早就暗藏在一串数字里。2018年，高跟鞋市场萎缩近120亿美元，占鞋类市场销售比例已不到20％，而且较2017年少了一半以上。根据 NPD Retail Tracking Service 的数据，2017年美国高跟鞋销量，比 2016 年下降了 11%。
曾经高跟鞋是属于都市女性的传说，在文化的塑造中，它有许多被赋予的意味，比如，是从女孩迈向女性的成人标志物，又或是职场上独立、气场强大的象征。越好看的高跟鞋穿起来越是“美丽刑具”，这几乎是一种共识。更现实的因素是，高跟鞋会平等地教育每个穿着它通勤的打工人。（每日人物）
高跟鞋，为什么被女性们抛弃？",财经
"【#黄金再创记录新高#，#金价今年以来涨逾10%#！】美国三大股指收盘涨跌不一。截至收盘，黄金股集体上涨，科尔黛伦矿业涨10.91%，泛美白银涨6.97%，金田涨3.71%，南方铜业涨3.21%，金罗斯黄金涨2.2%，哈莫尼黄金涨2.08%，盎格鲁黄金涨1.71%，巴里克黄金涨1.46%。
黄金再创纪录新高，COMEX 6月黄金期货收涨1.45%，报2315.00美元/盎司，续创收盘历史新高，今日早间开盘甚至一度突破2320美元/盎司。此前美联储主席杰罗姆·鲍威尔重申“今年某个时候”开始降息可能是合适之举。另外，COMEX白银也加速上涨。
鉴于黄金为无息资产，降息通常利好黄金。虽然鲍威尔重申了美联储的观望态度，但美联储的降息路径保持不变。这“对黄金非常有利，因为这表明，美联储将在通胀达标之前大幅降息” ，道明证券大宗商品策略全球主管Bart Melek表示。
金价今年以来涨逾10%，连创纪录。中东和乌克兰局势持续紧张，强化了黄金作为避险资产的地位。此外，尽管利率上升，但过去一年央行的买盘对金价维持历史高位起到了支撑作用。（e公司）",财经
"【#六大行存款一年多了14万亿#相当于每人多存1万
】中新经纬梳理了21家银行的存款数据，从存款总额看，截至2023年末，工商银行存款总额破30万亿元，以32.99万亿元居21家银行之首。农业银行、建设银行、中国银行存款总额均超过20万亿元，分别为28.44万亿元、27.22万亿元和22.60万亿元。国有六大行存款总额合计达133.61万亿元，在21家上市银行中，占比近八成。与2022年相比，增长14.34万亿元，增幅达12.03%。按照中国14亿人口计算，相当于每人存款增加1万元。",财经
"#王婆赵梅否认成立婚介公司#【“王婆”赵梅今起休假，世纪佳缘们能翻身吗？】 #王婆赵梅称自己并未开公司# “王婆”火了。在河南景区中的说媒现场，“王婆”被围得水泄不通，需要数名保安开路护送，甚至一度带火了开封市文旅产业。如今，开封“王婆”赵梅已经在抖音上坐拥610余万名粉丝，景区和“王婆”本人都称，“王婆”因身体不适将休息一个月。而以“开封王婆”为名的婚介公司也已“顺势”成立。虽然“王婆”本人表示自己从未开公司，也没有授权任何人开公司，但仍能证明有资本希望可以将“王婆”IP变现。可“王婆”的网红IP能得到长红的变现吗？在网红IP的冲击下，世纪佳缘们怕了吗？#王婆请假一个月# 
“王婆”赵梅今起休假，世纪佳缘们能翻身吗？",财经
#华为P70系列或将加入先锋计划#【#华为门店回应P70发布时间#：可扫码登记还不需要交定金，发布时间以官方为准】针对华为P70系列接受盲订一事，一位北京华为门店销售向@新浪科技 表示，目前只需要进行扫码登记，还不需要交定金。该销售表示，现在门店确实可以进行盲订，但还不需要交定金，目前只需要进行扫码登记。如果后续出了具体的盲订政策需要交定金，门店会与用户联系。另外，对于华为P70系列的具体的发布时间，他表示要以官方为主，门店暂时也没有消息。（新浪科技）#华为门店回应P70系列盲订#,财经
"【#女子做瑜伽被直播商家称不算偷拍#】最近，来自武汉的小静（化名）在手机上刷到一个直播间，点进一看，竟然是自己正在做瑜伽的画面！小静连忙点进主页，发现她上瑜伽课的店一直在拍摄、直播学员上课的画面，从未提前告知，有些动作和衣着让她觉得“非常不合适”。当她找到店家要说法，却被告知：不算偷拍，现在大家都这样。
黑猫投诉的微博视频",财经
